GALATA MESLEK? VE TEKN?K ANADOLU L?SES? 2025-2026 E??T?M Ö?RET?M YILI;;;;;;;;;;;;;;;
; 10. SINIFLAR  2.DÖNEM 1. ORTAK SINAV PROGRAMI;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TAR?H;SAAT;DERS ;SINIF ;Ö?RETMEN ;;;;;;;;;;;
;;;;;;;;;;;;;;;
24.03.2026      SALI;14.30-15.10;K?MYA;10/C  B?L;;;;;;;;;;;;
24.03.2026      SALI;14.30-15.10;K?MYA;10/D MAK;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/A   ELK S ;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/A  ELK;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/A   B?L;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/B   B?L;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/C  B?L;;;;;;;;;;;;
24.03.2026      SALI;15.40-16.20;SEÇMEL? MET?N TAHL?LLER?;10/D MAK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/A   ELK S ;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/A  ELK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/A   B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/B   B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/C  B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;14.30-15.10;TÜRK SOSYAL HAYATINDA A?LE;10/D MAK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/A   ELK S ;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/A  ELK;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/A   B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/B  B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/C  B?L;;;;;;;;;;;;
25.03.2026 ÇAR?AMBA;15.40-16.20;F?Z?K;10/D MAK;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/A   ELK S ;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/A  ELK;;;;;;;;;;;;
26.03.2026 PER?EMBE;14.30-15.10;FELSEFE;10/A   B?L;;;;;;;;;;;;
